InvoiceNo,InvoiceDate,CustomerID,ProductID,Category,UnitPrice,Quantity,Status,Country,TotalPrice
INV-000020,2023-12-01,CUST-02479,PROD-0079,Beauty,250000.0,3,Completed,Indonesia,750000.0
INV-000021,2023-02-23,CUST-02453,PROD-0085,Sports,780000.0,1,Completed,Indonesia,780000.0
INV-000022,2023-10-11,CUST-00877,PROD-0096,Electronics,7960000.0,1,Completed,Malaysia,7960000.0
INV-000023,2023-12-18,CUST-02809,PROD-0027,Electronics,6010000.0,4,Completed,Indonesia,24040000.0
INV-000024,2023-02-17,CUST-02058,PROD-0007,Sports,640000.0,2,Completed,Indonesia,1280000.0
INV-000025,2023-03-08,CUST-00030,PROD-0043,Home & Garden,500000.0,4,Completed,Indonesia,2000000.0
INV-000026,2023-08-07,CUST-04520,PROD-0091,Home & Garden,140000.0,1,Completed,Indonesia,140000.0
INV-000027,2023-07-09,CUST-04470,PROD-0005,Beauty,39000.0,1,Completed,Singapore,39000.0
INV-000028,2023-07-06,CUST-00343,PROD-0040,Beauty,102000.0,1,Completed,Indonesia,102000.0
INV-000029,2023-12-16,CUST-02932,PROD-0027,Electronics,6010000.0,2,Completed,Indonesia,12020000.0
INV-000030,2023-03-21,CUST-03330,PROD-0080,Sports,790000.0,1,Completed,Indonesia,790000.0
INV-000031,2023-01-13,CUST-01451,PROD-0053,Electronics,2720000.0,1,Completed,Indonesia,2720000.0
INV-000032,2023-03-23,CUST-02033,PROD-0035,Beauty,103000.0,1,Completed,Indonesia,103000.0
INV-000033,2023-04-13,CUST-03856,PROD-0029,Home & Garden,410000.0,1,Completed,Indonesia,410000.0
INV-000034,2023-01-13,CUST-01865,PROD-0029,Home & Garden,410000.0,1,Completed,Vietnam,410000.0
INV-000035,2023-05-23,CUST-00569,PROD-0099,Sports,620000.0,1,Completed,Thailand,620000.0
INV-000036,2023-03-01,CUST-02713,PROD-0004,Sports,180000.0,1,Completed,Indonesia,180000.0
INV-000037,2023-02-25,CUST-02175,PROD-0005,Beauty,39000.0,1,Completed,Indonesia,39000.0
INV-000038,2023-09-19,CUST-03575,PROD-0078,Electronics,1740000.0,4,Completed,Singapore,6960000.0
INV-000039,2023-12-29,CUST-02087,PROD-0006,Electronics,3670000.0,2,Completed,Indonesia,7340000.0
INV-000040,2023-08-09,CUST-01615,PROD-0047,Sports,590000.0,3,Completed,Indonesia,1770000.0
INV-000041,2023-03-05,CUST-02572,PROD-0085,Sports,780000.0,2,Completed,Thailand,1560000.0
INV-000042,2023-07-26,CUST-03346,PROD-0042,Sports,890000.0,1,Completed,Malaysia,890000.0
INV-000043,2023-07-14,CUST-03445,PROD-0086,Clothing,371000.0,1,Completed,Vietnam,371000.0
INV-000044,2023-10-08,CUST-02466,PROD-0052,Electronics,11460000.0,1,Completed,Indonesia,11460000.0
INV-000045,2023-11-07,CUST-03522,PROD-0075,Home & Garden,1770000.0,1,Completed,Indonesia,1770000.0
INV-000046,2023-08-31,CUST-01751,PROD-0066,Clothing,278000.0,1,Completed,Indonesia,278000.0
INV-000047,2023-09-21,CUST-00695,PROD-0037,Home & Garden,1700000.0,1,Completed,Indonesia,1700000.0
INV-000048,2023-06-08,CUST-01925,PROD-0087,Beauty,299000.0,1,Completed,Malaysia,299000.0
INV-000049,2023-09-01,CUST-00379,PROD-0032,Electronics,9330000.0,1,Completed,Singapore,9330000.0
INV-000050,2023-10-22,CUST-03396,PROD-0081,Clothing,347000.0,1,Completed,Vietnam,347000.0
INV-000052,2023-04-01,CUST-03483,PROD-0029,Home & Garden,410000.0,2,Completed,Indonesia,820000.0
INV-000053,2023-05-08,CUST-00412,PROD-0072,Sports,930000.0,1,Completed,Vietnam,930000.0
INV-000054,2023-09-29,CUST-03807,PROD-0086,Clothing,371000.0,1,Completed,Indonesia,371000.0
INV-000055,2023-10-08,CUST-04136,PROD-0055,Beauty,191000.0,1,Completed,Indonesia,191000.0
INV-000056,2023-05-07,CUST-03687,PROD-0034,Clothing,124000.0,1,Completed,Thailand,124000.0
INV-000057,2023-05-03,CUST-03970,PROD-0081,Clothing,347000.0,1,Completed,Indonesia,347000.0
INV-000058,2023-06-21,CUST-01921,PROD-0035,Beauty,103000.0,1,Completed,Indonesia,103000.0
INV-000059,2023-07-16,CUST-01236,PROD-0030,Home & Garden,500000.0,1,Completed,Indonesia,500000.0
INV-000060,2023-06-19,CUST-03399,PROD-0053,Electronics,2720000.0,1,Completed,Indonesia,2720000.0
INV-000062,2023-01-04,CUST-03117,PROD-0062,Home & Garden,310000.0,3,Completed,Malaysia,930000.0
INV-000063,2023-10-07,CUST-03433,PROD-0069,Sports,650000.0,1,Completed,Malaysia,650000.0
INV-000064,2023-08-12,CUST-01798,PROD-0035,Beauty,103000.0,1,Completed,Indonesia,103000.0
INV-000065,2023-03-07,CUST-01353,PROD-0060,Electronics,10380000.0,2,Completed,Indonesia,20760000.0
INV-000067,2023-01-26,CUST-03783,PROD-0024,Electronics,1160000.0,1,Completed,Indonesia,1160000.0
INV-000068,2023-07-14,CUST-02678,PROD-0044,Beauty,137000.0,1,Completed,Indonesia,137000.0
INV-000070,2023-02-05,CUST-01837,PROD-0084,Beauty,290000.0,1,Completed,Indonesia,290000.0
INV-000071,2023-01-11,CUST-02026,PROD-0026,Electronics,12900000.0,1,Completed,Indonesia,12900000.0
INV-000072,2023-04-22,CUST-00938,PROD-0073,Sports,390000.0,2,Completed,Thailand,780000.0
INV-000073,2023-11-07,CUST-01375,PROD-0078,Electronics,1740000.0,1,Completed,Indonesia,1740000.0
INV-000075,2023-04-12,CUST-03250,PROD-0092,Sports,310000.0,5,Completed,Indonesia,1550000.0
INV-000076,2023-06-04,CUST-00835,PROD-0090,Clothing,151000.0,1,Completed,Indonesia,151000.0
INV-000077,2023-06-27,CUST-04637,PROD-0006,Electronics,3670000.0,1,Completed,Indonesia,3670000.0
INV-000079,2023-07-05,CUST-00865,PROD-0056,Beauty,133000.0,1,Completed,Indonesia,133000.0
INV-000080,2023-09-25,CUST-03568,PROD-0023,Home & Garden,1200000.0,1,Completed,Indonesia,1200000.0
INV-000081,2023-08-12,CUST-03961,PROD-0060,Electronics,10380000.0,1,Completed,Indonesia,10380000.0
INV-000082,2023-05-23,CUST-02012,PROD-0012,Clothing,364000.0,1,Completed,Indonesia,364000.0
INV-000083,2023-12-09,CUST-04669,PROD-0079,Beauty,250000.0,2,Completed,Indonesia,500000.0
INV-000084,2023-04-19,CUST-01490,PROD-0063,Beauty,73000.0,1,Completed,Indonesia,73000.0
INV-000085,2023-05-22,CUST-04884,PROD-0090,Clothing,151000.0,1,Completed,Indonesia,151000.0
INV-000086,2023-07-28,CUST-00702,PROD-0031,Home & Garden,1430000.0,1,Completed,Indonesia,1430000.0
INV-000087,2023-01-09,CUST-04021,PROD-0058,Sports,870000.0,2,Completed,Indonesia,1740000.0
INV-000088,2023-10-25,CUST-02509,PROD-0085,Sports,780000.0,1,Completed,Singapore,780000.0
INV-000089,2023-10-09,CUST-03486,PROD-0096,Electronics,7960000.0,1,Completed,Indonesia,7960000.0
INV-000090,2023-04-29,CUST-02512,PROD-0033,Clothing,290000.0,1,Completed,Singapore,290000.0
INV-000091,2023-12-20,CUST-04390,PROD-0098,Clothing,293000.0,1,Completed,Indonesia,293000.0
INV-000092,2023-10-29,CUST-02266,PROD-0093,Clothing,53000.0,1,Completed,Indonesia,53000.0
INV-000093,2023-06-01,CUST-00824,PROD-0025,Clothing,398000.0,2,Completed,Indonesia,796000.0
INV-000096,2023-08-14,CUST-03846,PROD-0062,Home & Garden,310000.0,1,Completed,Indonesia,310000.0
INV-000097,2023-02-03,CUST-03914,PROD-0015,Home & Garden,290000.0,2,Completed,Vietnam,580000.0
INV-000098,2023-10-16,CUST-01243,PROD-0020,Beauty,51000.0,1,Completed,Malaysia,51000.0
INV-000099,2023-08-02,CUST-00971,PROD-0072,Sports,930000.0,1,Completed,Indonesia,930000.0
INV-000100,2023-08-19,CUST-04281,PROD-0049,Sports,460000.0,1,Completed,Indonesia,460000.0
INV-000101,2023-10-19,CUST-03513,PROD-0040,Beauty,102000.0,1,Completed,Vietnam,102000.0
INV-000102,2023-04-19,CUST-01703,PROD-0081,Clothing,347000.0,1,Completed,Indonesia,347000.0
INV-000103,2023-02-08,CUST-01424,PROD-0071,Clothing,293000.0,1,Completed,Indonesia,293000.0
INV-000104,2023-01-17,CUST-03850,PROD-0038,Electronics,3820000.0,1,Completed,Indonesia,3820000.0
INV-000105,2023-04-30,CUST-00584,PROD-0088,Home & Garden,930000.0,1,Completed,Indonesia,930000.0
INV-000106,2023-02-28,CUST-01621,PROD-0055,Beauty,191000.0,1,Completed,Indonesia,191000.0
INV-000107,2023-01-31,CUST-01166,PROD-0010,Beauty,189000.0,1,Completed,Singapore,189000.0
INV-000108,2023-03-05,CUST-02365,PROD-0057,Beauty,173000.0,1,Completed,Indonesia,173000.0
INV-000109,2023-10-04,CUST-02231,PROD-0065,Home & Garden,1950000.0,2,Completed,Malaysia,3900000.0
INV-000110,2023-06-15,CUST-03540,PROD-0095,Electronics,12960000.0,4,Completed,Indonesia,51840000.0
INV-000111,2023-01-11,CUST-04713,PROD-0076,Home & Garden,550000.0,5,Completed,Indonesia,2750000.0
INV-000112,2023-03-31,CUST-04721,PROD-0006,Electronics,3670000.0,3,Completed,Indonesia,11010000.0
INV-000113,2023-08-12,CUST-01487,PROD-0075,Home & Garden,1770000.0,1,Completed,Indonesia,1770000.0
INV-000114,2023-07-29,CUST-03851,PROD-0045,Beauty,69000.0,2,Completed,Indonesia,138000.0
INV-000115,2023-12-22,CUST-02702,PROD-0053,Electronics,2720000.0,1,Completed,Vietnam,2720000.0
INV-000116,2023-08-21,CUST-04507,PROD-0005,Beauty,39000.0,1,Completed,Malaysia,39000.0
INV-000117,2023-01-01,CUST-03312,PROD-0066,Clothing,278000.0,1,Completed,Indonesia,278000.0
INV-000118,2023-09-23,CUST-00445,PROD-0025,Clothing,398000.0,1,Completed,Singapore,398000.0
INV-000119,2023-05-17,CUST-00423,PROD-0027,Electronics,6010000.0,2,Completed,Indonesia,12020000.0
INV-000120,2023-01-15,CUST-03971,PROD-0016,Beauty,56000.0,1,Completed,Vietnam,56000.0
INV-000122,2023-03-02,CUST-00930,PROD-0060,Electronics,10380000.0,3,Completed,Indonesia,31140000.0
INV-000123,2023-05-20,CUST-04169,PROD-0091,Home & Garden,140000.0,1,Completed,Indonesia,140000.0
INV-000124,2023-10-10,CUST-01997,PROD-0059,Electronics,10360000.0,1,Completed,Vietnam,10360000.0
INV-000125,2023-03-11,CUST-04164,PROD-0096,Electronics,7960000.0,3,Completed,Indonesia,23880000.0
INV-000126,2023-05-17,CUST-02785,PROD-0065,Home & Garden,1950000.0,1,Completed,Singapore,1950000.0
INV-000127,2023-12-04,CUST-04809,PROD-0075,Home & Garden,1770000.0,1,Completed,Indonesia,1770000.0
INV-000128,2023-06-20,CUST-03968,PROD-0045,Beauty,69000.0,1,Completed,Indonesia,69000.0
INV-000129,2023-12-24,CUST-02637,PROD-0025,Clothing,398000.0,1,Completed,Vietnam,398000.0
INV-000130,2023-08-31,CUST-00358,PROD-0041,Clothing,461000.0,3,Completed,Indonesia,1383000.0
INV-000131,2023-01-19,CUST-01247,PROD-0064,Electronics,14330000.0,1,Completed,Indonesia,14330000.0
INV-000132,2023-02-21,CUST-00823,PROD-0057,Beauty,173000.0,1,Completed,Indonesia,173000.0
INV-000133,2023-03-21,CUST-03359,PROD-0084,Beauty,290000.0,1,Completed,Singapore,290000.0
INV-000134,2023-12-21,CUST-02774,PROD-0080,Sports,790000.0,1,Completed,Indonesia,790000.0
INV-000135,2023-06-12,CUST-04372,PROD-0049,Sports,460000.0,4,Completed,Indonesia,1840000.0
INV-000136,2023-11-13,CUST-04433,PROD-0005,Beauty,39000.0,1,Completed,Indonesia,39000.0
INV-000137,2023-02-16,CUST-01864,PROD-0096,Electronics,7960000.0,1,Completed,Indonesia,7960000.0
INV-000138,2023-12-22,CUST-03635,PROD-0022,Sports,900000.0,1,Completed,Indonesia,900000.0
INV-000139,2023-07-03,CUST-00460,PROD-0038,Electronics,3820000.0,1,Completed,Indonesia,3820000.0
INV-000140,2023-12-16,CUST-03376,PROD-0073,Sports,390000.0,4,Completed,Malaysia,1560000.0
INV-000141,2023-11-14,CUST-04993,PROD-0049,Sports,460000.0,1,Completed,Indonesia,460000.0
INV-000142,2023-08-25,CUST-01173,PROD-0030,Home & Garden,500000.0,1,Completed,Indonesia,500000.0
INV-000143,2023-12-13,CUST-03812,PROD-0037,Home & Garden,1700000.0,1,Completed,Indonesia,1700000.0
INV-000144,2023-11-24,CUST-04814,PROD-0039,Electronics,12170000.0,2,Completed,Indonesia,24340000.0
INV-000145,2023-07-16,CUST-02475,PROD-0026,Electronics,12900000.0,1,Completed,Indonesia,12900000.0
INV-000146,2023-10-22,CUST-04686,PROD-0046,Clothing,161000.0,3,Completed,Indonesia,483000.0
INV-000147,2023-01-05,CUST-03243,PROD-0036,Sports,300000.0,1,Completed,Indonesia,300000.0
INV-000148,2023-09-12,CUST-04968,PROD-0096,Electronics,7960000.0,3,Completed,Malaysia,23880000.0
INV-000149,2023-04-23,CUST-04974,PROD-0046,Clothing,161000.0,1,Completed,Malaysia,161000.0
INV-000151,2023-03-09,CUST-04748,PROD-0047,Sports,590000.0,1,Completed,Indonesia,590000.0
INV-000152,2023-03-09,CUST-01439,PROD-0026,Electronics,12900000.0,1,Completed,Indonesia,12900000.0
INV-000153,2023-05-20,CUST-04349,PROD-0065,Home & Garden,1950000.0,3,Completed,Singapore,5850000.0
INV-000154,2023-06-23,CUST-02418,PROD-0096,Electronics,7960000.0,2,Completed,Indonesia,15920000.0
INV-000155,2023-04-26,CUST-01154,PROD-0097,Home & Garden,1370000.0,1,Completed,Indonesia,1370000.0
INV-000157,2023-07-08,CUST-01013,PROD-0059,Electronics,10360000.0,1,Completed,Thailand,10360000.0
INV-000158,2023-07-10,CUST-03122,PROD-0082,Sports,250000.0,2,Completed,Indonesia,500000.0
INV-000159,2023-11-09,CUST-04600,PROD-0042,Sports,890000.0,1,Completed,Indonesia,890000.0
INV-000160,2023-07-29,CUST-02476,PROD-0084,Beauty,290000.0,1,Completed,Singapore,290000.0
INV-000161,2023-03-01,CUST-02494,PROD-0064,Electronics,14330000.0,1,Completed,Indonesia,14330000.0
INV-000162,2023-07-09,CUST-03184,PROD-0059,Electronics,10360000.0,1,Completed,Indonesia,10360000.0
INV-000163,2023-03-21,CUST-03434,PROD-0076,Home & Garden,550000.0,1,Completed,Indonesia,550000.0
INV-000164,2023-01-17,CUST-03344,PROD-0036,Sports,300000.0,1,Completed,Indonesia,300000.0
INV-000165,2023-02-20,CUST-01935,PROD-0047,Sports,590000.0,1,Completed,Indonesia,590000.0
INV-000166,2023-05-22,CUST-00497,PROD-0051,Clothing,279000.0,5,Completed,Indonesia,1395000.0
INV-000167,2023-04-19,CUST-00751,PROD-0085,Sports,780000.0,1,Completed,Indonesia,780000.0
INV-000168,2023-05-05,CUST-00415,PROD-0043,Home & Garden,500000.0,1,Completed,Indonesia,500000.0
INV-000169,2023-10-11,CUST-00563,PROD-0098,Clothing,293000.0,1,Completed,Indonesia,293000.0
INV-000170,2023-03-17,CUST-02692,PROD-0100,Clothing,403000.0,2,Completed,Indonesia,806000.0
INV-000171,2023-10-04,CUST-01186,PROD-0017,Home & Garden,1250000.0,1,Completed,Thailand,1250000.0
INV-000172,2023-07-03,CUST-01080,PROD-0002,Home & Garden,570000.0,1,Completed,Thailand,570000.0
INV-000173,2023-05-16,CUST-00130,PROD-0023,Home & Garden,1200000.0,1,Completed,Indonesia,1200000.0
INV-000174,2023-02-02,CUST-00932,PROD-0096,Electronics,7960000.0,1,Completed,Singapore,7960000.0
INV-000175,2023-08-20,CUST-04864,PROD-0014,Clothing,481000.0,1,Completed,Indonesia,481000.0
INV-000176,2023-08-23,CUST-04272,PROD-0039,Electronics,12170000.0,2,Completed,Vietnam,24340000.0
INV-000177,2023-12-18,CUST-03291,PROD-0055,Beauty,191000.0,3,Completed,Indonesia,573000.0
INV-000178,2023-06-14,CUST-00603,PROD-0011,Electronics,11500000.0,1,Completed,Indonesia,11500000.0
INV-000179,2023-06-16,CUST-04796,PROD-0071,Clothing,293000.0,1,Completed,Indonesia,293000.0
INV-000180,2023-11-06,CUST-03717,PROD-0065,Home & Garden,1950000.0,3,Completed,Indonesia,5850000.0
INV-000181,2023-04-21,CUST-04517,PROD-0093,Clothing,53000.0,1,Completed,Indonesia,53000.0
INV-000182,2023-07-24,CUST-02777,PROD-0059,Electronics,10360000.0,2,Completed,Indonesia,20720000.0
INV-000183,2023-05-11,CUST-02561,PROD-0086,Clothing,371000.0,1,Completed,Malaysia,371000.0
INV-000184,2023-02-13,CUST-00550,PROD-0012,Clothing,364000.0,4,Completed,Malaysia,1456000.0
INV-000185,2023-01-31,CUST-01066,PROD-0072,Sports,930000.0,2,Completed,Malaysia,1860000.0
INV-000186,2023-07-01,CUST-01002,PROD-0053,Electronics,2720000.0,4,Completed,Indonesia,10880000.0
INV-000187,2023-11-04,CUST-00422,PROD-0037,Home & Garden,1700000.0,1,Completed,Malaysia,1700000.0
INV-000188,2023-12-03,CUST-01743,PROD-0020,Beauty,51000.0,1,Completed,Malaysia,51000.0
INV-000189,2023-02-28,CUST-04557,PROD-0048,Sports,490000.0,4,Completed,Indonesia,1960000.0
INV-000190,2023-11-15,CUST-04596,PROD-0099,Sports,620000.0,1,Completed,Indonesia,620000.0
INV-000191,2023-12-22,CUST-04989,PROD-0085,Sports,780000.0,1,Completed,Malaysia,780000.0
INV-000192,2023-01-04,CUST-02784,PROD-0045,Beauty,69000.0,2,Completed,Malaysia,138000.0
INV-000193,2023-11-21,CUST-00571,PROD-0019,Sports,210000.0,2,Completed,Indonesia,420000.0
INV-000194,2023-08-03,CUST-01763,PROD-0049,Sports,460000.0,3,Completed,Indonesia,1380000.0
INV-000195,2023-10-18,CUST-02658,PROD-0100,Clothing,403000.0,1,Completed,Singapore,403000.0
INV-000197,2023-11-07,CUST-03474,PROD-0063,Beauty,73000.0,2,Completed,Indonesia,146000.0
INV-000198,2023-08-09,CUST-00933,PROD-0045,Beauty,69000.0,1,Completed,Vietnam,69000.0
INV-000199,2023-12-08,CUST-03987,PROD-0068,Home & Garden,1700000.0,1,Completed,Indonesia,1700000.0
INV-000200,2023-04-15,CUST-00449,PROD-0001,Electronics,860000.0,1,Completed,Indonesia,860000.0
INV-000201,2023-06-17,CUST-02094,PROD-0038,Electronics,3820000.0,1,Completed,Indonesia,3820000.0
INV-000202,2023-07-14,CUST-01440,PROD-0017,Home & Garden,1250000.0,5,Completed,Indonesia,6250000.0
INV-000203,2023-07-23,CUST-02902,PROD-0010,Beauty,189000.0,1,Completed,Malaysia,189000.0
INV-000204,2023-06-10,CUST-03767,PROD-0010,Beauty,189000.0,2,Completed,Indonesia,378000.0
INV-000206,2023-08-12,CUST-02965,PROD-0012,Clothing,364000.0,1,Completed,Singapore,364000.0
INV-000207,2023-02-10,CUST-03281,PROD-0068,Home & Garden,1700000.0,2,Completed,Indonesia,3400000.0
INV-000208,2023-03-28,CUST-01816,PROD-0043,Home & Garden,500000.0,1,Completed,Vietnam,500000.0
INV-000209,2023-06-28,CUST-04178,PROD-0025,Clothing,398000.0,3,Completed,Singapore,1194000.0
INV-000210,2023-03-16,CUST-01936,PROD-0014,Clothing,481000.0,1,Completed,Singapore,481000.0
INV-000211,2023-11-18,CUST-00618,PROD-0023,Home & Garden,1200000.0,4,Completed,Indonesia,4800000.0
INV-000212,2023-10-17,CUST-03678,PROD-0088,Home & Garden,930000.0,1,Completed,Indonesia,930000.0
INV-000213,2023-08-14,CUST-02590,PROD-0020,Beauty,51000.0,1,Completed,Malaysia,51000.0
INV-000214,2023-01-29,CUST-02251,PROD-0076,Home & Garden,550000.0,2,Completed,Indonesia,1100000.0
INV-000215,2023-01-30,CUST-03703,PROD-0005,Beauty,39000.0,1,Completed,Indonesia,39000.0
INV-000216,2023-07-16,CUST-04867,PROD-0065,Home & Garden,1950000.0,1,Completed,Indonesia,1950000.0
INV-000217,2023-11-30,CUST-03685,PROD-0074,Electronics,2120000.0,1,Completed,Indonesia,2120000.0
INV-000218,2023-08-19,CUST-01236,PROD-0008,Sports,280000.0,2,Completed,Indonesia,560000.0
INV-000219,2023-11-27,CUST-00691,PROD-0065,Home & Garden,1950000.0,1,Completed,Indonesia,1950000.0
INV-000220,2023-09-25,CUST-03600,PROD-0068,Home & Garden,1700000.0,1,Completed,Indonesia,1700000.0
INV-000221,2023-06-23,CUST-03174,PROD-0053,Electronics,2720000.0,1,Completed,Indonesia,2720000.0
INV-000222,2023-02-18,CUST-00540,PROD-0043,Home & Garden,500000.0,1,Completed,Indonesia,500000.0
INV-000223,2023-06-20,CUST-04938,PROD-0020,Beauty,51000.0,1,Completed,Indonesia,51000.0
INV-000224,2023-12-24,CUST-02542,PROD-0084,Beauty,290000.0,1,Completed,Malaysia,290000.0
INV-000225,2023-07-12,CUST-02537,PROD-0072,Sports,930000.0,1,Completed,Malaysia,930000.0
INV-000226,2023-11-27,CUST-04313,PROD-0012,Clothing,364000.0,1,Completed,Indonesia,364000.0
INV-000227,2023-04-03,CUST-02971,PROD-0040,Beauty,102000.0,1,Completed,Indonesia,102000.0
INV-000228,2023-03-12,CUST-01573,PROD-0029,Home & Garden,410000.0,3,Completed,Malaysia,1230000.0
INV-000229,2023-10-04,CUST-04159,PROD-0099,Sports,620000.0,1,Completed,Vietnam,620000.0
INV-000230,2023-11-13,CUST-02759,PROD-0099,Sports,620000.0,1,Completed,Malaysia,620000.0
INV-000231,2023-11-16,CUST-01482,PROD-0089,Sports,510000.0,1,Completed,Indonesia,510000.0
INV-000232,2023-07-06,CUST-00358,PROD-0053,Electronics,2720000.0,1,Completed,Indonesia,2720000.0
INV-000233,2023-08-18,CUST-02335,PROD-0097,Home & Garden,1370000.0,2,Completed,Indonesia,2740000.0
INV-000234,2023-12-14,CUST-01590,PROD-0048,Sports,490000.0,1,Completed,Malaysia,490000.0
INV-000235,2023-07-15,CUST-02309,PROD-0100,Clothing,403000.0,1,Completed,Indonesia,403000.0
INV-000236,2023-03-12,CUST-01636,PROD-0078,Electronics,1740000.0,1,Completed,Indonesia,1740000.0
INV-000237,2023-02-22,CUST-03041,PROD-0071,Clothing,293000.0,1,Completed,Indonesia,293000.0
INV-000238,2023-03-24,CUST-02336,PROD-0011,Electronics,11500000.0,1,Completed,Indonesia,11500000.0
INV-000239,2023-04-24,CUST-03584,PROD-0012,Clothing,364000.0,1,Completed,Singapore,364000.0
INV-000240,2023-07-22,CUST-03399,PROD-0007,Sports,640000.0,1,Completed,Indonesia,640000.0
INV-000241,2023-01-15,CUST-03072,PROD-0029,Home & Garden,410000.0,5,Completed,Indonesia,2050000.0
INV-000242,2023-01-20,CUST-01197,PROD-0018,Electronics,11080000.0,1,Completed,Vietnam,11080000.0
INV-000244,2023-10-08,CUST-01767,PROD-0020,Beauty,51000.0,3,Completed,Malaysia,153000.0
INV-000245,2023-05-28,CUST-00911,PROD-0100,Clothing,403000.0,2,Completed,Indonesia,806000.0
INV-000246,2023-11-15,CUST-03440,PROD-0082,Sports,250000.0,1,Completed,Thailand,250000.0
INV-000247,2023-01-09,CUST-04889,PROD-0069,Sports,650000.0,2,Completed,Indonesia,1300000.0
INV-000248,2023-01-01,CUST-02387,PROD-0055,Beauty,191000.0,3,Completed,Indonesia,573000.0
INV-000249,2023-12-09,CUST-01535,PROD-0086,Clothing,371000.0,1,Completed,Indonesia,371000.0
INV-000250,2023-09-17,CUST-04310,PROD-0070,Clothing,218000.0,1,Completed,Malaysia,218000.0
INV-000251,2023-01-23,CUST-03199,PROD-0061,Sports,780000.0,1,Completed,Indonesia,780000.0
INV-000252,2023-02-04,CUST-00134,PROD-0046,Clothing,161000.0,4,Completed,Indonesia,644000.0
INV-000253,2023-06-20,CUST-04767,PROD-0095,Electronics,12960000.0,1,Completed,Singapore,12960000.0
INV-000254,2023-12-17,CUST-01435,PROD-0100,Clothing,403000.0,1,Completed,Indonesia,403000.0
INV-000256,2023-06-08,CUST-00344,PROD-0041,Clothing,461000.0,1,Completed,Indonesia,461000.0
INV-000257,2023-01-19,CUST-03879,PROD-0033,Clothing,290000.0,1,Completed,Indonesia,290000.0
INV-000258,2023-06-19,CUST-00392,PROD-0084,Beauty,290000.0,1,Completed,Indonesia,290000.0
INV-000259,2023-08-14,CUST-03277,PROD-0096,Electronics,7960000.0,1,Completed,Singapore,7960000.0
INV-000260,2023-09-12,CUST-04065,PROD-0089,Sports,510000.0,3,Completed,Singapore,1530000.0
INV-000261,2023-08-06,CUST-00677,PROD-0094,Electronics,3820000.0,1,Completed,Indonesia,3820000.0
INV-000262,2023-06-14,CUST-04469,PROD-0038,Electronics,3820000.0,2,Completed,Thailand,7640000.0
INV-000263,2023-11-05,CUST-02511,PROD-0058,Sports,870000.0,1,Completed,Indonesia,870000.0
INV-000264,2023-01-22,CUST-02880,PROD-0058,Sports,870000.0,1,Completed,Indonesia,870000.0
INV-000265,2023-01-30,CUST-02250,PROD-0082,Sports,250000.0,5,Completed,Indonesia,1250000.0
INV-000266,2023-12-14,CUST-04204,PROD-0096,Electronics,7960000.0,1,Completed,Vietnam,7960000.0
INV-000267,2023-03-06,CUST-03590,PROD-0005,Beauty,39000.0,1,Completed,Indonesia,39000.0
INV-000269,2023-08-16,CUST-03039,PROD-0048,Sports,490000.0,3,Completed,Indonesia,1470000.0
INV-000270,2023-06-10,CUST-03007,PROD-0051,Unknown,279000.0,1,Completed,Thailand,279000.0
